20,59,"pan","Tue Feb 26 2013 21:18:36 GMT-0500 (EST)",24,"x:743,y:281,time:3;","startLoc:(41.82608368300356, -71.39853722618102),endLoc:(41.826147641639146, -71.39847285316466),zoom:17"
20,60,"pan","Tue Feb 26 2013 21:18:36 GMT-0500 (EST)",26,"x:737,y:289,time:3;","startLoc:(41.826147641639146, -71.39847285316466),endLoc:(41.82624357947268, -71.39839775131225),zoom:17"
20,61,"pan","Tue Feb 26 2013 21:18:36 GMT-0500 (EST)",17,"x:730,y:301,time:2;","startLoc:(41.82624357947268, -71.39839775131225),endLoc:(41.82625956909765, -71.39837629364013),zoom:17"
20,62,"pan","Tue Feb 26 2013 21:18:36 GMT-0500 (EST)",32,"x:728,y:303,time:3;","startLoc:(41.82625956909765, -71.39837629364013),endLoc:(41.82631553275352, -71.39835483596801),zoom:17"
20,63,"pan","Tue Feb 26 2013 21:18:36 GMT-0500 (EST)",33,"x:726,y:310,time:2;","startLoc:(41.82631553275352, -71.39835483596801),endLoc:(41.826331522360526, -71.39835483596801),zoom:17"
20,64,"pan","Tue Feb 26 2013 21:18:36 GMT-0500 (EST)",32,"x:726,y:312,time:2;","startLoc:(41.826331522360526, -71.39835483596801),endLoc:(41.82637949115751, -71.39832264945983),zoom:17"
20,65,"pan","Tue Feb 26 2013 21:18:36 GMT-0500 (EST)",22,"x:723,y:318,time:3;","startLoc:(41.82637949115751, -71.39832264945983),endLoc:(41.826387485953525, -71.39832264945983),zoom:17"
20,66,"pan","Tue Feb 26 2013 21:18:36 GMT-0500 (EST)",36,"x:723,y:319,time:2;","startLoc:(41.826387485953525, -71.39832264945983),endLoc:(41.826387485953525, -71.39831192062377),zoom:17"
20,67,"pan","Tue Feb 26 2013 21:18:36 GMT-0500 (EST)",157,"x:722,y:319,time:3;","startLoc:(41.826387485953525, -71.39831192062377),endLoc:(41.82641147033554, -71.39827973411559),zoom:17"
20,68,"pan","Tue Feb 26 2013 21:18:36 GMT-0500 (EST)",21,"x:719,y:322,time:2;","startLoc:(41.82641147033554, -71.39827973411559),endLoc:(41.82643545470858, -71.39825827644347),zoom:17"
